symbol,Date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
Cognizant,28-07-2025,76.67,76.8,75.27,75.42,75.42,3184397,3184397,-1.25,-1.63,76.04,"July 28, 25",-0.0163
Cognizant,25-07-2025,76.92,76.92,76.06,76.67,76.67,2550000,2550000,-0.25,-0.32501,76.6425,"July 25, 25",-0.0032501
Cognizant,24-07-2025,76.92,76.92,75.66,76.73,76.73,4499341,4499341,-0.19,-0.24701,76.5575,"July 24, 25",-0.0024701
Cognizant,23-07-2025,77,77.58,76.87,77.19,77.19,2508778,2508778,0.19,0.24675,77.16,"July 23, 25",0.0024675
Cognizant,22-07-2025,75.66,76.9,75.39,76.8,76.8,2738914,2738914,1.14,1.51,76.1875,"July 22, 25",0.0151
Cognizant,21-07-2025,76.06,76.11,75.33,75.42,75.42,1973500,1973500,-0.64,-0.84144,75.73,"July 21, 25",-0.0084144
Cognizant,18-07-2025,77,77,75.19,75.68,75.68,4901787,4901787,-1.32,-1.71,76.2175,"July 18, 25",-0.0171
Cognizant,17-07-2025,75.49,75.59,74.76,75.56,75.56,3831113,3831113,0.075,0.09272751,75.35,"July 17, 25",0.000927275
Cognizant,16-07-2025,74.46,75.05,73.96,74.83,74.83,2939304,2939304,0.37,0.49691,74.575,"July 16, 25",0.0049691
Cognizant,15-07-2025,75.42,75.78,74.29,74.31,74.31,2481868,2481868,-1.11,-1.47,74.95,"July 15, 25",-0.0147
Cognizant,14-07-2025,75.31,75.89,74.89,75.39,75.39,2598363,2598363,0.08,0.10623,75.37,"July 14, 25",0.0010623
Cognizant,11-07-2025,76.19,76.51,75.29,75.36,75.36,2673338,2673338,-0.83,-1.09,75.8375,"July 11, 25",-0.0109
Cognizant,10-07-2025,79.26,79.44,76.41,76.73,76.73,4752287,4752287,-2.53,-3.19,77.96,"July 10, 25",-0.0319
Cognizant,09-07-2025,80.9,81.04,79.4,79.95,79.95,1935957,1935957,-0.95,-1.17,80.3225,"July 09, 25",-0.0117
Cognizant,08-07-2025,80.65,81.47,80.35,80.71,80.71,1965829,1965829,0.06,0.07439554,80.795,"July 08, 25",0.000743955
Cognizant,07-07-2025,80.93,81.61,80.2,80.46,80.46,2091380,2091380,-0.47,-0.58075,80.8,"July 07, 25",-0.0058075
Cognizant,03-07-2025,80.46,81.32,80.02,80.98,80.98,1777100,1777100,0.52,0.64628,80.695,"July 03, 25",0.0064628
Cognizant,02-07-2025,80.3,80.53,79.31,80.25,80.25,3594600,3594600,-0.05,-0.0622665,80.0975,"July 02, 25",-0.000622665
Cognizant,01-07-2025,78.03,80.79,77.88,80.44,80.44,4900500,4900500,2.41,3.09,79.285,"July 01, 25",0.0309
Cognizant,30-06-2025,77.79,78.32,77.56,78.03,78.03,2704700,2704700,0.24,0.30852,77.925,"June 30, 25",0.0030852
Cognizant,27-06-2025,77.59,78.2,76.89,77.74,77.74,3968900,3968900,0.15,0.19332,77.605,"June 27, 25",0.0019332
Cognizant,26-06-2025,77.39,77.95,77.13,77.59,77.59,2957023,2957023,0.2,0.25843,77.515,"June 26, 25",0.0025843
Cognizant,25-06-2025,77.82,78.09,76.8,76.98,76.98,2314260,2314260,-0.84,-1.08,77.4225,"June 25, 25",-0.0108
Cognizant,24-06-2025,77.35,77.72,76.79,77.59,77.59,4588500,4588500,0.24,0.31028,77.3625,"June 24, 25",0.0031028
Cognizant,23-06-2025,75.8,76.78,75.41,76.72,76.72,4741532,4741532,0.92,1.21,76.1775,"June 23, 25",0.0121
Cognizant,20-06-2025,79.19,79.19,75.25,75.47,75.47,11686500,11686500,-3.72,-4.7,77.275,"June 20, 25",-0.047
Cognizant,18-06-2025,79.85,79.91,78.85,79.14,79.14,2915885,2915885,-0.71,-0.88917,79.4375,"June 18, 25",-0.0088917
Cognizant,17-06-2025,79.88,80.6,79.55,79.71,79.71,2798625,2798625,-0.17,-0.21282,79.935,"June 17, 25",-0.0021282
Cognizant,16-06-2025,79.35,80.25,79.35,80.15,80.15,5398650,5398650,0.8,1.01,79.775,"June 16, 25",0.0101
Cognizant,13-06-2025,79.76,80.01,78.76,78.95,78.95,2469269,2469269,-0.81,-1.02,79.37,"June 13, 25",-0.0102
Cognizant,12-06-2025,80.23,80.75,79.95,80.46,80.46,1930377,1930377,0.23,0.28668,80.3475,"June 12, 25",0.0028668
